CountyFIPS,NatWalkInd,DIABETES_AdjPrev,OBESITY_AdjPrev,HIGHCHOL_AdjPrev,CHD_AdjPrev,BPHIGH_AdjPrev
06049,6.819444444166667,9.7,30.0,30.4,6.1,28.8
06051,9.803921568470587,8.9,29.1,29.9,5.5,26.1
06053,11.879113019034335,11.1,32.8,31.5,5.8,27.7
06055,8.127358490660377,9.6,28.7,30.5,5.4,26.0
06057,7.786666666546666,8.9,29.9,29.9,5.6,26.7
06059,13.173706344863412,9.9,25.7,31.4,5.0,25.7
06061,10.230829420957745,8.6,25.8,29.1,4.9,25.1
06063,7.977272727136364,8.5,29.1,29.5,5.5,26.7
06065,10.72928802603204,10.5,34.0,31.0,5.4,26.9
06067,12.530336257360744,10.6,33.9,28.7,5.5,28.2
06069,10.420833333100001,10.4,29.1,29.7,5.0,25.9
06071,10.918040293083335,12.4,35.1,31.4,5.7,29.9
06073,12.18662952649805,9.4,25.4,30.5,5.1,24.5
06075,15.957257601881238,9.2,17.7,30.1,4.2,23.8
06077,11.056962025192405,11.6,33.8,32.1,5.6,28.3
06079,10.744376278257668,8.4,28.2,28.7,5.2,26.6
06081,10.069474442174947,8.9,21.4,30.2,4.3,24.3
06083,10.495740149194889,10.0,31.6,29.9,5.3,25.7
06085,13.554883720920001,10.0,22.0,30.8,4.4,23.5
06087,11.977040816311225,9.0,29.4,29.9,5.2,26.6
06089,8.937659033145039,9.3,28.7,29.0,5.9,26.7
06091,5.1,9.0,31.3,29.8,5.7,27.4
06093,8.581081080864864,9.7,32.9,30.6,6.1,28.5
06095,12.223976608133333,11.0,32.8,29.2,5.0,27.6
06097,10.863479759020672,8.3,28.3,28.0,4.9,24.9
06099,12.022727273045454,10.9,34.7,31.1,5.6,29.8
06101,10.795698925048386,11.6,32.0,32.4,6.1,28.9
06103,8.414728681860465,10.0,32.5,30.8,6.0,29.7
06105,5.8717948717692305,9.9,32.4,30.4,6.4,30.1
06107,7.356172839588889,13.2,38.0,32.3,6.5,30.9
06109,6.302083333354166,8.9,31.0,29.2,5.6,27.2
06111,11.691472868360465,10.1,28.9,30.7,5.2,27.9
06113,12.928961748770492,10.7,28.5,30.9,5.8,27.6
06115,9.615646258285715,10.9,32.6,30.3,6.2,29.3
08001,12.0384615386,9.8,34.0,25.0,5.3,25.5
08003,7.700000000733334,10.6,31.9,28.5,5.8,28.2
08005,12.398692810495099,7.9,25.7,28.5,5.0,25.7
08007,5.833333333400001,7.6,24.9,28.1,5.2,24.4
08009,5.66666666675,9.9,31.0,28.5,6.6,28.4
08011,6.3666666666,11.4,33.1,28.9,7.1,31.0
08013,12.349999999920001,6.3,18.6,26.7,4.5,23.3
08014,9.40942028947826,6.5,24.6,25.7,4.1,22.4
08015,7.366666666933333,7.9,25.3,27.7,5.6,26.0
08017,6.166666666666667,7.7,27.6,27.4,5.4,24.8
08019,6.333333332666666,6.7,25.7,26.4,4.8,22.3
08021,4.611111111166667,11.2,30.5,28.7,6.3,27.5
08023,5.3333333335,12.5,33.7,28.4,6.6,28.5
08025,4.45833333325,11.8,33.3,29.5,7.4,32.0
08027,4.708333333500001,7.9,26.8,27.0,5.7,24.7
08029,6.152777777583334,8.5,29.0,29.4,5.8,26.8
08031,14.462231462307694,7.9,23.8,28.5,5.2,25.3
08033,6.416666666499999,7.9,27.4,26.9,5.5,25.5
08035,8.727956989354839,6.2,20.9,27.5,4.3,22.7
08037,8.850574712413792,7.0,22.6,26.5,4.8,23.7
08039,4.5333333332666665,7.1,25.0,26.1,5.0,23.8
08041,11.11369863020822,8.1,28.1,28.8,5.1,25.0
08043,6.527777778027778,9.1,29.2,26.2,6.2,26.9
08045,9.134259259277778,7.7,26.7,27.5,5.1,25.3
08047,4.66666666675,7.2,25.2,26.4,5.2,23.0
08049,8.129629629666667,6.9,24.9,26.7,5.0,23.5
08051,8.69999999995,6.5,23.7,26.4,4.8,24.4
08053,6.666666667,6.8,25.9,26.7,4.8,23.5
08055,5.166666666714286,9.6,28.7,28.1,6.0,26.0
08057,6.6666666685,9.2,28.4,27.7,6.7,26.5
08059,10.997154471395122,7.2,24.9,27.9,4.9,23.6
08061,6.5,8.9,30.0,28.0,6.4,27.5
08063,6.52083333325,8.3,30.2,27.2,5.7,26.0
08065,7.708333333375,7.4,26.2,27.1,4.6,23.0
08067,6.681818181575758,6.7,24.8,26.5,4.8,23.4
08069,10.392361110895832,6.5,21.1,25.9,4.6,23.0
08071,6.6862745094705875,10.5,31.6,28.9,6.2,26.9
08073,6.3,9.1,30.3,27.5,6.1,27.5
08075,7.3437500003125,9.3,30.0,27.3,6.2,28.7
08077,7.689393939738636,7.9,30.3,26.7,5.2,26.0
08079,7.166666667,7.2,26.6,27.2,5.2,24.4
08081,6.577777777933333,8.9,29.6,28.0,6.2,27.5
08083,6.659090908954545,8.9,30.2,27.9,6.0,26.8
08085,6.292929292909091,8.3,33.6,26.9,5.4,25.4
08087,6.46000000008,9.1,31.3,27.3,5.6,26.2
08089,8.483333333000001,11.9,31.6,28.3,7.2,28.5
08091,6.375,6.8,24.8,26.9,4.9,24.0
08093,5.0,7.0,25.3,27.1,4.9,24.7
08095,7.250000000666667,9.3,30.6,29.3,6.1,27.4
08097,9.653846154153847,6.0,21.1,25.3,4.3,20.9
